Trace,Search,Category,State,Event start,End,baseline pa,peak amp,time to peak,time of peak,antipeak a,time to antipeak,time of antipeak,half width,half amplitude,time to rise,time to decay,rise tau,decay tau,max rise slope,time to max rise slope,max decay,time to max decay slope,rise slope 10% to 90%,decay slope 90% to 10%,decay time,area pH,area pA,instant freq,interevent interval,sd of fit,template
3,1,1,A,1977.800049,1979.300781,1.991999984,-40.44414902,0.700195313,1978.500244,-8.095515251,0,1977.800049,Not found,-20.22207451,0.182499319,Not found,0.500548303,0.572883368,-73.52941132,0.150390625,30.63725471,0.549804688,Not found,Not found,Not found,Not found,-46.16099167,18.34856033,54.50019073,N/A,N/A
3,1,1,A,2169.800049,2172.000977,1.991999984,-61.19610214,0.799804688,2170.599854,-4.433406353,0,2169.800049,1.610159159,-30.59805107,0.332701802,1.942860961,1.236880898,6.266349792,-127.4271851,0.350097656,36.76470566,0.350585938,-94.36457825,0.535742044,Not found,Not found,-87.05160522,5.205632687,192.0996094,N/A,N/A
3,1,1,A,2251.800049,2253.500977,1.991999984,-37.3923912,0.700195313,2252.500244,-19.08184433,0,2251.800049,Not found,-18.6961956,Not found,Not found,0.314723462,12.24713421,-54.61165237,0.050292969,18.38235283,0.25,Not found,Not found,Not found,Not found,-53.52518082,12.20995426,81.90039063,N/A,N/A
3,1,1,A,2363.5,2364.800781,1.991999984,-41.66485214,0.599609375,2364.099609,-20.91289902,0,2363.5,Not found,-20.83242607,Not found,Not found,2.574208498,0.289330542,-42.89215851,0.25,42.47572708,0.550292969,Not found,Not found,Not found,Not found,-43.74876022,8.96062088,111.599411,N/A,N/A
3,1,1,A,2413.800049,2415.399658,1.991999984,-44.71660995,0.600585938,2414.400635,-15.419734,0,2413.800049,Not found,-22.35830498,0.114214033,Not found,0.58882165,1.374258399,-67.40196228,0.25,30.3398056,0.449707031,Not found,Not found,Not found,Not found,-54.62701797,19.88032913,50.3009758,N/A,N/A
3,1,1,A,2440.800049,2442.399658,1.991999984,-59.36504745,0.600585938,2441.400635,-6.26446104,0,2440.800049,1.219582677,-29.68252373,0.224500701,1.444083333,0.69758904,1.335908413,-134.8039246,0.25,49.01960754,0.549804688,Not found,Not found,Not found,Not found,-64.69483948,37.0370369,27,N/A,N/A
3,1,1,A,2779.800049,2781.199219,1.991999984,-38.00274277,0.600585938,2780.400635,-15.419734,0,2779.800049,Not found,-19.00137138,Not found,Not found,0.438901573,0.366026551,-55.14706039,0.150390625,30.63725471,0.549804688,Not found,Not found,Not found,Not found,-43.60250854,2.949852467,339,N/A,N/A
3,1,1,A,2935.099609,2936.399658,1.991999984,-37.3923912,0.600585938,2935.700195,-18.47149277,0,2935.099609,Not found,-18.6961956,Not found,Not found,0.372852325,0.355501056,-49.01960754,0.150390625,24.50980377,0.349609375,Not found,Not found,Not found,Not found,-40.90903854,6.439170837,155.2994995,N/A,N/A
3,1,1,A,3130.300049,3131.699219,1.991999984,-41.05450058,0.700195313,3131.000244,-17.8611412,0,3130.300049,Not found,-20.52725029,0.127842128,Not found,2.331615448,0.817133248,-54.61165237,0.350097656,30.63725471,0.450195313,Not found,Not found,Not found,Not found,-44.27484894,5.120324612,195.3001099,N/A,N/A
3,1,1,A,3162.700195,3164.300781,1.991999984,-43.49590683,0.599609375,3163.299805,-11.75762463,0,3162.700195,Not found,-21.74795341,0.127841786,Not found,0.402034998,1.030206323,-79.65686035,0.049804688,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-54.10921097,30.96012306,32.29961395,N/A,N/A
3,1,1,A,3177.099609,3178.800781,1.991999984,-53.26153183,0.600585938,3177.700195,-11.75762463,0,3177.099609,1.377128601,-26.63076591,0.177584946,1.554713607,0.640830755,4.567391872,-98.03921509,0.150390625,42.47572708,0.449707031,Not found,Not found,Not found,Not found,-63.95658875,69.4431076,14.40027618,N/A,N/A
3,1,1,A,3183.800049,3186.300781,1.991999984,-44.10625839,0.600585938,3184.400635,-20.91289902,0,3183.800049,Not found,-22.0531292,Not found,Not found,7.912723541,0.512185037,-54.61165237,0.350097656,36.40776825,0.449707031,Not found,Not found,Not found,Not found,-77.33125305,149.2425995,6.700500011,N/A,N/A
3,1,1,A,3208,3209.300781,1.991999984,-38.00274277,0.599609375,3208.599609,-19.08184433,0,3208,Not found,-19.00137138,Not found,Not found,0.26899752,0.667102158,-61.27450943,0.049804688,24.50980377,0.450195313,Not found,Not found,Not found,Not found,-41.49153137,41.32398224,24.1990242,N/A,N/A
3,1,1,A,3319.200195,3320.899658,1.991999984,-44.10625839,0.599609375,3319.799805,-17.8611412,0,3319.200195,Not found,-22.0531292,Not found,Not found,0.320264935,5.723040104,-72.8155365,0.149902344,30.63725471,0.450195313,Not found,Not found,Not found,Not found,-59.03114319,8.992789268,111.2002029,N/A,N/A
3,1,1,A,3425.5,3426.899658,1.991999984,-46.54766464,0.700195313,3426.200195,-16.64043808,0,3425.5,Not found,-23.27383232,0.142840698,Not found,0.755084813,0.370828807,-61.27450943,0.25,49.01960754,0.549804688,Not found,Not found,Not found,Not found,-49.83000183,9.398462296,106.400383,N/A,N/A
3,1,1,A,3827.800049,3829.399658,1.991999984,-42.88555527,0.600585938,3828.400635,-14.80938244,0,3827.800049,Not found,-21.44277763,0.117502809,Not found,0.543181479,0.866116643,-67.40196228,0.150390625,24.50980377,0.349609375,Not found,Not found,Not found,Not found,-54.01547623,2.48632288,402.2003784,N/A,N/A
3,1,1,A,4049.300049,4050.599609,1.991999984,-27.6267662,0.400390625,4049.700439,-21.52325058,0,4049.300049,Not found,-13.8133831,Not found,Not found,0.318744868,1.714944839,-24.50980377,0.150390625,6.127450943,0.25,Not found,Not found,Not found,Not found,-33.89416504,4.518756866,221.2998047,N/A,N/A
3,1,1,A,4062.200195,4063.500977,1.991999984,-33.73028183,0.5,4062.700195,-17.8611412,0,4062.200195,Not found,-16.86514091,Not found,Not found,0.277114898,0.46304673,-55.14706039,0.049804688,18.20388412,0.649902344,Not found,Not found,Not found,Not found,-38.19658661,76.92420197,12.99980927,N/A,N/A
3,1,1,A,4150.200195,4151.800781,1.991999984,-32.5095787,1.099609375,4151.299805,-19.08184433,0,4150.200195,Not found,-16.25478935,Not found,Not found,0.407511801,0.25011465,-42.89215851,0.049804688,24.27184486,0.350097656,Not found,Not found,Not found,Not found,-44.83115387,11.28673172,88.59960938,N/A,N/A
3,1,1,A,4274.099609,4276.399414,1.991999984,-55.70293808,0.700195313,4274.799805,-19.69219589,0,4274.099609,2.01462698,-27.85146904,0.140141308,2.154768229,0.820908666,0.893720746,-67.40196228,0.350585938,36.76470566,1.150390625,Not found,Not found,Not found,Not found,-99.1153717,8.097173691,123.4998856,N/A,N/A
3,1,1,A,4426,4428.699219,1.991999984,-56.9236412,0.900390625,4426.900391,-17.25078964,0,4426,2.307050943,-28.4618206,0.183781236,2.49083209,0.70437324,0.858863413,-61.27450943,0.049804688,36.76470566,1.049804688,Not found,Not found,Not found,Not found,-115.52742,6.574592113,152.1006927,N/A,N/A
3,1,1,A,4522,4525.300781,1.991999984,-43.49590683,0.599609375,4522.599609,-9.926569939,0,4522,Not found,-21.74795341,0.148882195,Not found,0.407333523,0.439571053,-79.65686035,0.049804688,30.3398056,0.250488281,Not found,Not found,Not found,Not found,-116.5802994,10.44940567,95.69921875,N/A,N/A
3,1,1,A,4619,4620.399414,1.991999984,-31.89922714,0.599609375,4619.599609,-20.91289902,0,4619,Not found,-15.94961357,Not found,Not found,0.370911509,1.781829715,-30.63725471,0.049804688,12.25490189,0.450195313,Not found,Not found,Not found,Not found,-39.39561462,10.30927849,97,N/A,N/A
